epoch,train_loss,train_acc,val_loss,val_acc
1,0.3658935334533453,0.8862745098039215,0.37036724388599396,0.5964912280701754
2,0.3420701902359724,0.8960784313725491,0.37392666935920715,0.6140350877192983
3,0.3349503483623266,0.888235294117647,0.3728017061948776,0.5964912280701754
4,0.3331696670502424,0.8941176470588236,0.3808504641056061,0.6842105263157895
5,0.3306435402482748,0.9117647058823529,0.4024384468793869,0.5964912280701754
6,0.3291490916162729,0.9254901960784314,0.40268851816654205,0.631578947368421
7,0.3238116726279259,0.9372549019607843,0.40283432602882385,0.6666666666666666
8,0.32660153321921825,0.9431372549019608,0.41655467450618744,0.6666666666666666
9,0.32106222212314606,0.9372549019607843,0.404857873916626,0.7017543859649122
10,0.31666035018861294,0.9431372549019608,0.41829419136047363,0.6491228070175439
11,0.310836061835289,0.9411764705882353,0.4256122261285782,0.6842105263157895
12,0.3074656967073679,0.9450980392156862,0.41811349987983704,0.6491228070175439
13,0.314188189804554,0.9529411764705882,0.4299521893262863,0.6491228070175439
