fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.011363636363636364,0.7301427
0.0,0.17045454545454544,0.7265826
0.011363636363636364,0.17045454545454544,0.7265783
0.011363636363636364,0.4431818181818182,0.71243733
0.022727272727272728,0.4431818181818182,0.71199894
0.022727272727272728,0.7045454545454546,0.64780927
0.045454545454545456,0.7045454545454546,0.64366716
0.045454545454545456,0.8409090909090909,0.5954128
0.056818181818181816,0.8409090909090909,0.59434116
0.056818181818181816,0.8977272727272727,0.58404523
0.09090909090909091,0.8977272727272727,0.5697579
0.09090909090909091,0.9090909090909091,0.5648027
0.10227272727272728,0.9090909090909091,0.56243473
0.10227272727272728,0.9204545454545454,0.55823094
0.125,0.9204545454545454,0.5381867
0.125,0.9318181818181818,0.53716725
0.14772727272727273,0.9318181818181818,0.46804518
0.14772727272727273,0.9431818181818182,0.45742783
0.36363636363636365,0.9431818181818182,0.38956714
0.36363636363636365,0.9545454545454546,0.3895606
0.375,0.9545454545454546,0.38570818
0.375,0.9659090909090909,0.38568366
0.5,0.9659090909090909,0.36803746
0.5,0.9886363636363636,0.36597374
0.6477272727272727,0.9886363636363636,0.3557137
0.6704545454545454,0.9886363636363636,0.3552108
0.6931818181818182,0.9886363636363636,0.35288462
0.6931818181818182,1.0,0.35221148
1.0,1.0,0.30555868
