epoch,train_loss,train_acc,val_loss,val_acc
1,0.3469617107640142,0.6253481894150418,0.32183705766995746,0.6125
2,0.3385846537092458,0.6114206128133705,0.3277859191099803,0.5625
3,0.3316677458908247,0.7367688022284122,0.3389965196450551,0.4875
4,0.325114993945412,0.6671309192200557,0.32498615980148315,0.525
5,0.3237254736216172,0.6810584958217271,0.32227211197217304,0.525
