fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.011363636363636364,0.72037226
0.0,0.5909090909090909,0.6352221
0.011363636363636364,0.5909090909090909,0.6333024
0.011363636363636364,0.6931818181818182,0.6061825
0.022727272727272728,0.6931818181818182,0.6050159
0.022727272727272728,0.75,0.5811084
0.03409090909090909,0.75,0.5791469
0.03409090909090909,0.7613636363636364,0.5720246
0.045454545454545456,0.7613636363636364,0.5705097
0.045454545454545456,0.9318181818181818,0.5261361
0.056818181818181816,0.9318181818181818,0.51988494
0.056818181818181816,0.9659090909090909,0.5145821
0.06818181818181818,0.9659090909090909,0.5072095
0.06818181818181818,0.9772727272727273,0.504066
0.5909090909090909,0.9772727272727273,0.43376568
0.5909090909090909,0.9886363636363636,0.4336825
0.7727272727272727,0.9886363636363636,0.4192567
0.7954545454545454,0.9886363636363636,0.41885376
0.8068181818181818,0.9886363636363636,0.41705
0.8068181818181818,1.0,0.4167185
1.0,1.0,0.39224142
