fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.011363636363636364,0.7226624
0.0,0.36363636363636365,0.66759557
0.011363636363636364,0.36363636363636365,0.662055
0.011363636363636364,0.42045454545454547,0.6511985
0.022727272727272728,0.42045454545454547,0.64952534
0.022727272727272728,0.5795454545454546,0.61490834
0.03409090909090909,0.5795454545454546,0.6136598
0.03409090909090909,0.6136363636363636,0.6033101
0.045454545454545456,0.6136363636363636,0.6015766
0.045454545454545456,0.6704545454545454,0.5904348
0.045454545454545456,0.6931818181818182,0.5900203
0.045454545454545456,0.7272727272727273,0.5795372
0.056818181818181816,0.7272727272727273,0.5770801
0.056818181818181816,0.75,0.5756351
0.06818181818181818,0.75,0.5692338
0.06818181818181818,0.8409090909090909,0.5536885
0.07954545454545454,0.8409090909090909,0.552541
0.07954545454545454,0.8636363636363636,0.54237753
0.09090909090909091,0.8636363636363636,0.5334469
0.09090909090909091,0.875,0.524656
0.125,0.875,0.51203966
0.125,0.8977272727272727,0.5104896
0.13636363636363635,0.8977272727272727,0.5080143
0.13636363636363635,0.9204545454545454,0.5049282
0.20454545454545456,0.9204545454545454,0.49105203
0.22727272727272727,0.9204545454545454,0.48890695
0.26136363636363635,0.9204545454545454,0.48744836
0.26136363636363635,0.9431818181818182,0.4818953
0.3181818181818182,0.9431818181818182,0.47648486
0.3181818181818182,0.9545454545454546,0.47489458
0.32954545454545453,0.9545454545454546,0.47423193
0.32954545454545453,0.9659090909090909,0.47386813
0.3409090909090909,0.9659090909090909,0.4722466
0.3409090909090909,0.9772727272727273,0.47213322
0.36363636363636365,0.9772727272727273,0.46930024
0.36363636363636365,0.9886363636363636,0.46876138
0.4659090909090909,0.9886363636363636,0.4590016
0.4659090909090909,1.0,0.45888335
0.6363636363636364,1.0,0.45020527
0.6590909090909091,1.0,0.4497628
1.0,1.0,0.41883054
