fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.011363636363636364,0.6948861
0.0,0.625,0.5979218
0.011363636363636364,0.625,0.5972267
0.011363636363636364,0.7045454545454546,0.5830497
0.022727272727272728,0.7045454545454546,0.58186424
0.022727272727272728,0.7727272727272727,0.5608601
0.03409090909090909,0.7727272727272727,0.5608072
0.03409090909090909,0.8409090909090909,0.5532585
0.045454545454545456,0.8409090909090909,0.5489291
0.045454545454545456,0.8522727272727273,0.5467112
0.056818181818181816,0.8522727272727273,0.5461886
0.056818181818181816,0.9659090909090909,0.5048169
0.20454545454545456,0.9659090909090909,0.46361908
0.20454545454545456,0.9772727272727273,0.46319035
0.3068181818181818,0.9772727272727273,0.44306728
0.3068181818181818,0.9886363636363636,0.44129053
0.3409090909090909,0.9886363636363636,0.43789548
0.3409090909090909,1.0,0.4367742
0.4090909090909091,1.0,0.433417
0.4318181818181818,1.0,0.4325245
1.0,1.0,0.36801043
