feature,importance
entropy14,1.0857679843902588
40,1.1514079570770264
entropy30,1.2520370483398438
entropy28,1.2786518335342407
14,1.3635717630386353
entropy29,1.3812437057495117
28,1.385063648223877
29,1.4092124700546265
entropy13,1.5151193141937256
manu_37,2.1131603717803955
13,2.115539073944092
