fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.011363636363636364,0.9964264713611662
0.0,0.13636363636363635,0.9758324818495364
0.0,0.1590909090909091,0.9747510595401404
0.0,0.19318181818181818,0.9676835760667951
0.0,0.2159090909090909,0.966784486201938
0.0,0.6477272727272727,0.8496177306396215
0.011363636363636364,0.6477272727272727,0.8429623922470756
0.011363636363636364,0.7272727272727273,0.7796356222254914
0.022727272727272728,0.7272727272727273,0.7765901859617653
0.022727272727272728,0.8068181818181818,0.7350662569470542
0.045454545454545456,0.8068181818181818,0.709052513110568
0.045454545454545456,0.8522727272727273,0.6775133857029944
0.056818181818181816,0.8522727272727273,0.6700704123622242
0.056818181818181816,0.8636363636363636,0.6690030580630709
0.06818181818181818,0.8636363636363636,0.6678539139991173
0.06818181818181818,0.8977272727272727,0.6268121476944272
0.11363636363636363,0.8977272727272727,0.5186181967921949
0.11363636363636363,0.9318181818181818,0.3611293424520091
0.18181818181818182,0.9318181818181818,0.2517413650728445
0.18181818181818182,0.9545454545454546,0.21506283949926266
0.20454545454545456,0.9545454545454546,0.18317544250951642
0.20454545454545456,0.9659090909090909,0.16842173646830516
0.26136363636363635,0.9659090909090909,0.11973345982124474
0.26136363636363635,0.9772727272727273,0.11515498738316393
0.5909090909090909,0.9772727272727273,0.03830687837070018
0.5909090909090909,0.9886363636363636,0.03647706537452066
0.6363636363636364,0.9886363636363636,0.03408506444831874
0.6590909090909091,0.9886363636363636,0.03112127064969131
0.8295454545454546,0.9886363636363636,0.01608718877740617
0.8522727272727273,0.9886363636363636,0.015000188214037003
0.9545454545454546,0.9886363636363636,0.005895522388059702
0.9545454545454546,1.0,0.005751633986928104
1.0,1.0,0.002222222222222222
