combination_number,expert_1_order,expert_2_order,metrics
1,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy29', 'entropy28', 'entropy13', 'entropy14']","{'accuracy': 0.6610169410705566, 'precision': 0.6707317233085632, 'recall': np.float64(0.625), 'specificity': 0.6966292262077332, 'f1': 0.6470588445663452, 'auroc': 0.7086312770843506}"
2,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy29', 'entropy28', 'entropy14', 'entropy13']","{'accuracy': 0.598870038986206, 'precision': 0.6133333444595337, 'recall': np.float64(0.5227272727272727), 'specificity': 0.6741573214530945, 'f1': 0.5644171833992004, 'auroc': 0.6564096212387085}"
3,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy29', 'entropy13', 'entropy28', 'entropy14']","{'accuracy': 0.6779661178588867, 'precision': 0.6666666865348816, 'recall': np.float64(0.7045454545454546), 'specificity': 0.6516854166984558, 'f1': 0.6850828528404236, 'auroc': 0.7069714665412903}"
4,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy29', 'entropy13', 'entropy14', 'entropy28']","{'accuracy': 0.6610169410705566, 'precision': 0.6627907156944275, 'recall': np.float64(0.6477272727272727), 'specificity': 0.6741573214530945, 'f1': 0.6551724076271057, 'auroc': 0.6820735931396484}"
5,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy29', 'entropy14', 'entropy28', 'entropy13']","{'accuracy': 0.6666666865348816, 'precision': 0.6790123581886292, 'recall': np.float64(0.625), 'specificity': 0.7078651785850525, 'f1': 0.6508875489234924, 'auroc': 0.7215269804000854}"
6,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy29', 'entropy14', 'entropy13', 'entropy28']","{'accuracy': 0.694915235042572, 'precision': 0.7179487347602844, 'recall': np.float64(0.6363636363636364), 'specificity': 0.7528089880943298, 'f1': 0.6746987700462341, 'auroc': 0.7330183982849121}"
7,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy28', 'entropy29', 'entropy13', 'entropy14']","{'accuracy': 0.7062146663665771, 'precision': 0.699999988079071, 'recall': np.float64(0.7159090909090909), 'specificity': 0.6966292262077332, 'f1': 0.7078651785850525, 'auroc': 0.7231869101524353}"
8,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy28', 'entropy29', 'entropy14', 'entropy13']","{'accuracy': 0.7288135886192322, 'precision': 0.7083333134651184, 'recall': np.float64(0.7727272727272727), 'specificity': 0.6853932738304138, 'f1': 0.739130437374115, 'auroc': 0.7219101190567017}"
9,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy28', 'entropy13', 'entropy29', 'entropy14']","{'accuracy': 0.6723163723945618, 'precision': 0.65625, 'recall': np.float64(0.7159090909090909), 'specificity': 0.6292135119438171, 'f1': 0.6847826242446899, 'auroc': 0.6980337500572205}"
10,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy28', 'entropy13', 'entropy14', 'entropy29']","{'accuracy': 0.7175140976905823, 'precision': 0.7021276354789734, 'recall': np.float64(0.75), 'specificity': 0.6853932738304138, 'f1': 0.7252747416496277, 'auroc': 0.7207610011100769}"
11,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy28', 'entropy14', 'entropy29', 'entropy13']","{'accuracy': 0.700564980506897, 'precision': 0.7011494040489197, 'recall': np.float64(0.6931818181818182), 'specificity': 0.7078651785850525, 'f1': 0.6971428394317627, 'auroc': 0.7263789772987366}"
12,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy28', 'entropy14', 'entropy13', 'entropy29']","{'accuracy': 0.6553672552108765, 'precision': 0.695652186870575, 'recall': np.float64(0.5454545454545454), 'specificity': 0.7640449404716492, 'f1': 0.6114649772644043, 'auroc': 0.7290602326393127}"
13,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy13', 'entropy29', 'entropy28', 'entropy14']","{'accuracy': 0.7231638431549072, 'precision': 0.7142857313156128, 'recall': np.float64(0.7386363636363636), 'specificity': 0.7078651785850525, 'f1': 0.7262569665908813, 'auroc': 0.7305924892425537}"
14,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy13', 'entropy29', 'entropy14', 'entropy28']","{'accuracy': 0.7118644118309021, 'precision': 0.7283950448036194, 'recall': np.float64(0.6704545454545454), 'specificity': 0.7528089880943298, 'f1': 0.6982248425483704, 'auroc': 0.7520428895950317}"
15,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy13', 'entropy28', 'entropy29', 'entropy14']","{'accuracy': 0.6779661178588867, 'precision': 0.7066666483879089, 'recall': np.float64(0.6022727272727273), 'specificity': 0.7528089880943298, 'f1': 0.650306761264801, 'auroc': 0.7131001353263855}"
16,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy13', 'entropy28', 'entropy14', 'entropy29']","{'accuracy': 0.6892655491828918, 'precision': 0.7200000286102295, 'recall': np.float64(0.6136363636363636), 'specificity': 0.7640449404716492, 'f1': 0.6625766754150391, 'auroc': 0.7213994264602661}"
17,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy13', 'entropy14', 'entropy29', 'entropy28']","{'accuracy': 0.7062146663665771, 'precision': 0.7142857313156128, 'recall': np.float64(0.6818181818181818), 'specificity': 0.7303370833396912, 'f1': 0.6976743936538696, 'auroc': 0.7548518776893616}"
18,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy13', 'entropy14', 'entropy28', 'entropy29']","{'accuracy': 0.7175140976905823, 'precision': 0.7209302186965942, 'recall': np.float64(0.7045454545454546), 'specificity': 0.7303370833396912, 'f1': 0.7126436829566956, 'auroc': 0.7382533550262451}"
19,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy14', 'entropy29', 'entropy28', 'entropy13']","{'accuracy': 0.694915235042572, 'precision': 0.707317054271698, 'recall': np.float64(0.6590909090909091), 'specificity': 0.7303370833396912, 'f1': 0.6823529601097107, 'auroc': 0.7210162878036499}"
20,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy14', 'entropy29', 'entropy13', 'entropy28']","{'accuracy': 0.7118644118309021, 'precision': 0.7126436829566956, 'recall': np.float64(0.7045454545454546), 'specificity': 0.7191011309623718, 'f1': 0.7085714340209961, 'auroc': 0.727017343044281}"
21,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy14', 'entropy28', 'entropy29', 'entropy13']","{'accuracy': 0.6384180784225464, 'precision': 0.6463414430618286, 'recall': np.float64(0.6022727272727273), 'specificity': 0.6741573214530945, 'f1': 0.6235294342041016, 'auroc': 0.6779877543449402}"
22,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy14', 'entropy28', 'entropy13', 'entropy29']","{'accuracy': 0.6779661178588867, 'precision': 0.701298713684082, 'recall': np.float64(0.6136363636363636), 'specificity': 0.7415730357170105, 'f1': 0.6545454263687134, 'auroc': 0.7229315638542175}"
23,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy14', 'entropy13', 'entropy29', 'entropy28']","{'accuracy': 0.6779661178588867, 'precision': 0.6781609058380127, 'recall': np.float64(0.6704545454545454), 'specificity': 0.6853932738304138, 'f1': 0.6742857098579407, 'auroc': 0.7210162878036499}"
24,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy30', 'entropy14', 'entropy13', 'entropy28', 'entropy29']","{'accuracy': 0.7344632744789124, 'precision': 0.7070707082748413, 'recall': np.float64(0.7954545454545454), 'specificity': 0.6741573214530945, 'f1': 0.7486631274223328, 'auroc': 0.7212716937065125}"
25,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy29', 'entropy30', 'entropy28', 'entropy13', 'entropy14']","{'accuracy': 0.7062146663665771, 'precision': 0.6914893388748169, 'recall': np.float64(0.7386363636363636), 'specificity': 0.6741573214530945, 'f1': 0.7142857313156128, 'auroc': 0.7302093505859375}"
26,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy29', 'entropy30', 'entropy28', 'entropy14', 'entropy13']","{'accuracy': 0.6836158037185669, 'precision': 0.6904761791229248, 'recall': np.float64(0.6590909090909091), 'specificity': 0.7078651785850525, 'f1': 0.6744186282157898, 'auroc': 0.7386363744735718}"
27,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy29', 'entropy30', 'entropy13', 'entropy28', 'entropy14']","{'accuracy': 0.7231638431549072, 'precision': 0.7010309100151062, 'recall': np.float64(0.7727272727272727), 'specificity': 0.6741573214530945, 'f1': 0.7351351380348206, 'auroc': 0.7466803193092346}"
28,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy29', 'entropy30', 'entropy13', 'entropy14', 'entropy28']","{'accuracy': 0.7175140976905823, 'precision': 0.7159090638160706, 'recall': np.float64(0.7159090909090909), 'specificity': 0.7191011309623718, 'f1': 0.7159090638160706, 'auroc': 0.7271450161933899}"
29,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy29', 'entropy30', 'entropy14', 'entropy28', 'entropy13']","{'accuracy': 0.6666666865348816, 'precision': 0.7164179086685181, 'recall': np.float64(0.5454545454545454), 'specificity': 0.7865168452262878, 'f1': 0.6193548440933228, 'auroc': 0.7498723864555359}"
30,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy29', 'entropy30', 'entropy14', 'entropy13', 'entropy28']","{'accuracy': 0.7118644118309021, 'precision': 0.7176470756530762, 'recall': np.float64(0.6931818181818182), 'specificity': 0.7303370833396912, 'f1': 0.7052023410797119, 'auroc': 0.7450204491615295}"
31,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy29', 'entropy28', 'entropy30', 'entropy13', 'entropy14']","{'accuracy': 0.7344632744789124, 'precision': 0.7157894968986511, 'recall': np.float64(0.7727272727272727), 'specificity': 0.6966292262077332, 'f1': 0.7431694269180298, 'auroc': 0.7175689339637756}"
32,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy29', 'entropy28', 'entropy30', 'entropy14', 'entropy13']","{'accuracy': 0.700564980506897, 'precision': 0.7058823704719543, 'recall': np.float64(0.6818181818181818), 'specificity': 0.7191011309623718, 'f1': 0.6936416029930115, 'auroc': 0.7385086417198181}"
33,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy29', 'entropy28', 'entropy13', 'entropy30', 'entropy14']","{'accuracy': 0.6892655491828918, 'precision': 0.6896551847457886, 'recall': np.float64(0.6818181818181818), 'specificity': 0.6966292262077332, 'f1': 0.6857143044471741, 'auroc': 0.709269642829895}"
34,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy29', 'entropy28', 'entropy13', 'entropy14', 'entropy30']","{'accuracy': 0.694915235042572, 'precision': 0.7023809552192688, 'recall': np.float64(0.6704545454545454), 'specificity': 0.7191011309623718, 'f1': 0.6860465407371521, 'auroc': 0.7157814502716064}"
35,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy29', 'entropy28', 'entropy14', 'entropy30', 'entropy13']","{'accuracy': 0.6723163723945618, 'precision': 0.6704545617103577, 'recall': np.float64(0.6704545454545454), 'specificity': 0.6741573214530945, 'f1': 0.6704545617103577, 'auroc': 0.6952247619628906}"
36,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy29', 'entropy28', 'entropy14', 'entropy13', 'entropy30']","{'accuracy': 0.7118644118309021, 'precision': 0.7176470756530762, 'recall': np.float64(0.6931818181818182), 'specificity': 0.7303370833396912, 'f1': 0.7052023410797119, 'auroc': 0.725229799747467}"
37,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy29', 'entropy13', 'entropy30', 'entropy28', 'entropy14']","{'accuracy': 0.7118644118309021, 'precision': 0.7078651785850525, 'recall': np.float64(0.7159090909090909), 'specificity': 0.7078651785850525, 'f1': 0.7118644118309021, 'auroc': 0.7382533550262451}"
38,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy29', 'entropy13', 'entropy30', 'entropy14', 'entropy28']","{'accuracy': 0.7118644118309021, 'precision': 0.7228915691375732, 'recall': np.float64(0.6818181818181818), 'specificity': 0.7415730357170105, 'f1': 0.7017543911933899, 'auroc': 0.7575331926345825}"
39,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy29', 'entropy13', 'entropy28', 'entropy30', 'entropy14']","{'accuracy': 0.6779661178588867, 'precision': 0.701298713684082, 'recall': np.float64(0.6136363636363636), 'specificity': 0.7415730357170105, 'f1': 0.6545454263687134, 'auroc': 0.6911389231681824}"
40,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy29', 'entropy13', 'entropy28', 'entropy14', 'entropy30']","{'accuracy': 0.700564980506897, 'precision': 0.7215189933776855, 'recall': np.float64(0.6477272727272727), 'specificity': 0.7528089880943298, 'f1': 0.682634711265564, 'auroc': 0.7379980087280273}"
41,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy29', 'entropy13', 'entropy14', 'entropy30', 'entropy28']","{'accuracy': 0.700564980506897, 'precision': 0.692307710647583, 'recall': np.float64(0.7159090909090909), 'specificity': 0.6853932738304138, 'f1': 0.7039105892181396, 'auroc': 0.7336568236351013}"
42,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy29', 'entropy13', 'entropy14', 'entropy28', 'entropy30']","{'accuracy': 0.7062146663665771, 'precision': 0.7250000238418579, 'recall': np.float64(0.6590909090909091), 'specificity': 0.7528089880943298, 'f1': 0.6904761791229248, 'auroc': 0.7489786148071289}"
43,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy29', 'entropy14', 'entropy30', 'entropy28', 'entropy13']","{'accuracy': 0.6723163723945618, 'precision': 0.7142857313156128, 'recall': np.float64(0.5681818181818182), 'specificity': 0.7752808928489685, 'f1': 0.6329113841056824, 'auroc': 0.7295709848403931}"
44,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy29', 'entropy14', 'entropy30', 'entropy13', 'entropy28']","{'accuracy': 0.7231638431549072, 'precision': 0.729411780834198, 'recall': np.float64(0.7045454545454546), 'specificity': 0.7415730357170105, 'f1': 0.7167630195617676, 'auroc': 0.733146071434021}"
45,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy29', 'entropy14', 'entropy28', 'entropy30', 'entropy13']","{'accuracy': 0.700564980506897, 'precision': 0.7272727489471436, 'recall': np.float64(0.6363636363636364), 'specificity': 0.7640449404716492, 'f1': 0.678787887096405, 'auroc': 0.7165474891662598}"
46,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy29', 'entropy14', 'entropy28', 'entropy13', 'entropy30']","{'accuracy': 0.7118644118309021, 'precision': 0.7078651785850525, 'recall': np.float64(0.7159090909090909), 'specificity': 0.7078651785850525, 'f1': 0.7118644118309021, 'auroc': 0.7208886742591858}"
47,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy29', 'entropy14', 'entropy13', 'entropy30', 'entropy28']","{'accuracy': 0.694915235042572, 'precision': 0.7023809552192688, 'recall': np.float64(0.6704545454545454), 'specificity': 0.7191011309623718, 'f1': 0.6860465407371521, 'auroc': 0.7152706980705261}"
48,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy29', 'entropy14', 'entropy13', 'entropy28', 'entropy30']","{'accuracy': 0.7118644118309021, 'precision': 0.6907216310501099, 'recall': np.float64(0.7613636363636364), 'specificity': 0.6629213690757751, 'f1': 0.7243243455886841, 'auroc': 0.7281664609909058}"
49,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy28', 'entropy30', 'entropy29', 'entropy13', 'entropy14']","{'accuracy': 0.6892655491828918, 'precision': 0.6896551847457886, 'recall': np.float64(0.6818181818181818), 'specificity': 0.6966292262077332, 'f1': 0.6857143044471741, 'auroc': 0.723314642906189}"
50,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy28', 'entropy30', 'entropy29', 'entropy14', 'entropy13']","{'accuracy': 0.7118644118309021, 'precision': 0.7126436829566956, 'recall': np.float64(0.7045454545454546), 'specificity': 0.7191011309623718, 'f1': 0.7085714340209961, 'auroc': 0.7475740909576416}"
51,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy28', 'entropy30', 'entropy13', 'entropy29', 'entropy14']","{'accuracy': 0.6723163723945618, 'precision': 0.6875, 'recall': np.float64(0.625), 'specificity': 0.7191011309623718, 'f1': 0.6547619104385376, 'auroc': 0.7123339772224426}"
52,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy28', 'entropy30', 'entropy13', 'entropy14', 'entropy29']","{'accuracy': 0.6836158037185669, 'precision': 0.6818181872367859, 'recall': np.float64(0.6818181818181818), 'specificity': 0.6853932738304138, 'f1': 0.6818181872367859, 'auroc': 0.7285495400428772}"
53,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy28', 'entropy30', 'entropy14', 'entropy29', 'entropy13']","{'accuracy': 0.7231638431549072, 'precision': 0.729411780834198, 'recall': np.float64(0.7045454545454546), 'specificity': 0.7415730357170105, 'f1': 0.7167630195617676, 'auroc': 0.742083728313446}"
54,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy28', 'entropy30', 'entropy14', 'entropy13', 'entropy29']","{'accuracy': 0.6723163723945618, 'precision': 0.692307710647583, 'recall': np.float64(0.6136363636363636), 'specificity': 0.7303370833396912, 'f1': 0.650602400302887, 'auroc': 0.7335290908813477}"
55,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy28', 'entropy29', 'entropy30', 'entropy13', 'entropy14']","{'accuracy': 0.6779661178588867, 'precision': 0.6913580298423767, 'recall': np.float64(0.6363636363636364), 'specificity': 0.7191011309623718, 'f1': 0.6627218723297119, 'auroc': 0.7174412608146667}"
56,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy28', 'entropy29', 'entropy30', 'entropy14', 'entropy13']","{'accuracy': 0.7344632744789124, 'precision': 0.7252747416496277, 'recall': np.float64(0.75), 'specificity': 0.7191011309623718, 'f1': 0.7374301552772522, 'auroc': 0.7293156385421753}"
57,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy28', 'entropy29', 'entropy13', 'entropy30', 'entropy14']","{'accuracy': 0.6723163723945618, 'precision': 0.6875, 'recall': np.float64(0.625), 'specificity': 0.7191011309623718, 'f1': 0.6547619104385376, 'auroc': 0.6950970888137817}"
58,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy28', 'entropy29', 'entropy13', 'entropy14', 'entropy30']","{'accuracy': 0.700564980506897, 'precision': 0.6881720423698425, 'recall': np.float64(0.7272727272727273), 'specificity': 0.6741573214530945, 'f1': 0.7071823477745056, 'auroc': 0.7179519534111023}"
59,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy28', 'entropy29', 'entropy14', 'entropy30', 'entropy13']","{'accuracy': 0.7062146663665771, 'precision': 0.7093023061752319, 'recall': np.float64(0.6931818181818182), 'specificity': 0.7191011309623718, 'f1': 0.7011494040489197, 'auroc': 0.7257405519485474}"
60,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy28', 'entropy29', 'entropy14', 'entropy13', 'entropy30']","{'accuracy': 0.7231638431549072, 'precision': 0.7241379022598267, 'recall': np.float64(0.7159090909090909), 'specificity': 0.7303370833396912, 'f1': 0.7200000286102295, 'auroc': 0.7312308549880981}"
61,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy28', 'entropy13', 'entropy30', 'entropy29', 'entropy14']","{'accuracy': 0.6836158037185669, 'precision': 0.7105262875556946, 'recall': np.float64(0.6136363636363636), 'specificity': 0.7528089880943298, 'f1': 0.6585366129875183, 'auroc': 0.7129724025726318}"
62,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy28', 'entropy13', 'entropy30', 'entropy14', 'entropy29']","{'accuracy': 0.7062146663665771, 'precision': 0.7307692170143127, 'recall': np.float64(0.6477272727272727), 'specificity': 0.7640449404716492, 'f1': 0.6867470145225525, 'auroc': 0.75114905834198}"
63,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy28', 'entropy13', 'entropy29', 'entropy30', 'entropy14']","{'accuracy': 0.6723163723945618, 'precision': 0.6829268336296082, 'recall': np.float64(0.6363636363636364), 'specificity': 0.7078651785850525, 'f1': 0.658823549747467, 'auroc': 0.7207609415054321}"
64,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy28', 'entropy13', 'entropy29', 'entropy14', 'entropy30']","{'accuracy': 0.7118644118309021, 'precision': 0.7341772317886353, 'recall': np.float64(0.6590909090909091), 'specificity': 0.7640449404716492, 'f1': 0.6946107745170593, 'auroc': 0.7425944805145264}"
65,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy28', 'entropy13', 'entropy14', 'entropy30', 'entropy29']","{'accuracy': 0.6892655491828918, 'precision': 0.7142857313156128, 'recall': np.float64(0.625), 'specificity': 0.7528089880943298, 'f1': 0.6666666865348816, 'auroc': 0.7340399026870728}"
66,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy28', 'entropy13', 'entropy14', 'entropy29', 'entropy30']","{'accuracy': 0.7118644118309021, 'precision': 0.7228915691375732, 'recall': np.float64(0.6818181818181818), 'specificity': 0.7415730357170105, 'f1': 0.7017543911933899, 'auroc': 0.7359550595283508}"
67,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy28', 'entropy14', 'entropy30', 'entropy29', 'entropy13']","{'accuracy': 0.6327683329582214, 'precision': 0.649350643157959, 'recall': np.float64(0.5681818181818182), 'specificity': 0.6966292262077332, 'f1': 0.6060606241226196, 'auroc': 0.699438214302063}"
68,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy28', 'entropy14', 'entropy30', 'entropy13', 'entropy29']","{'accuracy': 0.6723163723945618, 'precision': 0.692307710647583, 'recall': np.float64(0.6136363636363636), 'specificity': 0.7303370833396912, 'f1': 0.650602400302887, 'auroc': 0.7205057144165039}"
69,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy28', 'entropy14', 'entropy29', 'entropy30', 'entropy13']","{'accuracy': 0.7118644118309021, 'precision': 0.7126436829566956, 'recall': np.float64(0.7045454545454546), 'specificity': 0.7191011309623718, 'f1': 0.7085714340209961, 'auroc': 0.7110572457313538}"
70,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy28', 'entropy14', 'entropy29', 'entropy13', 'entropy30']","{'accuracy': 0.694915235042572, 'precision': 0.6976743936538696, 'recall': np.float64(0.6818181818181818), 'specificity': 0.7078651785850525, 'f1': 0.6896551847457886, 'auroc': 0.7253574728965759}"
71,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy28', 'entropy14', 'entropy13', 'entropy30', 'entropy29']","{'accuracy': 0.7231638431549072, 'precision': 0.7349397540092468, 'recall': np.float64(0.6931818181818182), 'specificity': 0.7528089880943298, 'f1': 0.7134503126144409, 'auroc': 0.7068437337875366}"
72,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy28', 'entropy14', 'entropy13', 'entropy29', 'entropy30']","{'accuracy': 0.6836158037185669, 'precision': 0.6702127456665039, 'recall': np.float64(0.7159090909090909), 'specificity': 0.6516854166984558, 'f1': 0.692307710647583, 'auroc': 0.7069714665412903}"
73,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy13', 'entropy30', 'entropy29', 'entropy28', 'entropy14']","{'accuracy': 0.7118644118309021, 'precision': 0.698924720287323, 'recall': np.float64(0.7386363636363636), 'specificity': 0.6853932738304138, 'f1': 0.7182320356369019, 'auroc': 0.7345505952835083}"
74,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy13', 'entropy30', 'entropy29', 'entropy14', 'entropy28']","{'accuracy': 0.6836158037185669, 'precision': 0.6951219439506531, 'recall': np.float64(0.6477272727272727), 'specificity': 0.7191011309623718, 'f1': 0.6705882549285889, 'auroc': 0.7345505356788635}"
75,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy13', 'entropy30', 'entropy28', 'entropy29', 'entropy14']","{'accuracy': 0.700564980506897, 'precision': 0.7058823704719543, 'recall': np.float64(0.6818181818181818), 'specificity': 0.7191011309623718, 'f1': 0.6936416029930115, 'auroc': 0.7198672294616699}"
76,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy13', 'entropy30', 'entropy28', 'entropy14', 'entropy29']","{'accuracy': 0.7231638431549072, 'precision': 0.7096773982048035, 'recall': np.float64(0.75), 'specificity': 0.6966292262077332, 'f1': 0.7292817831039429, 'auroc': 0.734039843082428}"
77,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy13', 'entropy30', 'entropy14', 'entropy29', 'entropy28']","{'accuracy': 0.7231638431549072, 'precision': 0.729411780834198, 'recall': np.float64(0.7045454545454546), 'specificity': 0.7415730357170105, 'f1': 0.7167630195617676, 'auroc': 0.7346782684326172}"
78,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy13', 'entropy30', 'entropy14', 'entropy28', 'entropy29']","{'accuracy': 0.6836158037185669, 'precision': 0.699999988079071, 'recall': np.float64(0.6363636363636364), 'specificity': 0.7303370833396912, 'f1': 0.6666666865348816, 'auroc': 0.7378702759742737}"
79,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy13', 'entropy29', 'entropy30', 'entropy28', 'entropy14']","{'accuracy': 0.7231638431549072, 'precision': 0.7142857313156128, 'recall': np.float64(0.7386363636363636), 'specificity': 0.7078651785850525, 'f1': 0.7262569665908813, 'auroc': 0.7230592370033264}"
80,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy13', 'entropy29', 'entropy30', 'entropy14', 'entropy28']","{'accuracy': 0.6327683329582214, 'precision': 0.6185566782951355, 'recall': np.float64(0.6818181818181818), 'specificity': 0.584269642829895, 'f1': 0.6486486196517944, 'auroc': 0.6750510931015015}"
81,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy13', 'entropy29', 'entropy28', 'entropy30', 'entropy14']","{'accuracy': 0.6892655491828918, 'precision': 0.6987951993942261, 'recall': np.float64(0.6590909090909091), 'specificity': 0.7191011309623718, 'f1': 0.6783625483512878, 'auroc': 0.7078651785850525}"
82,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy13', 'entropy29', 'entropy28', 'entropy14', 'entropy30']","{'accuracy': 0.694915235042572, 'precision': 0.6976743936538696, 'recall': np.float64(0.6818181818181818), 'specificity': 0.7078651785850525, 'f1': 0.6896551847457886, 'auroc': 0.7148876786231995}"
83,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy13', 'entropy29', 'entropy14', 'entropy30', 'entropy28']","{'accuracy': 0.6610169410705566, 'precision': 0.6521739363670349, 'recall': np.float64(0.6818181818181818), 'specificity': 0.6404494643211365, 'f1': 0.6666666865348816, 'auroc': 0.6957353949546814}"
84,"['manu_37', '40', '13', '29', '14', '28', 'Sum']","['entropy13', 'entropy29', 'entropy14', 'entropy28', 'entropy30']","{'accuracy': 0.7175140976905823, 'precision': 0.70652174949646, 'recall': np.float64(0.7386363636363636), 'specificity': 0.6966292262077332, 'f1': 0.7222222089767456, 'auroc': 0.7318692207336426}"
