feature,importance
40,0.0
entropy28,0.0
entropy29,0.0
entropy14,0.017224918862431205
29,0.01883473438141393
entropy13,0.01909209943381875
14,0.028486801611958566
entropy30,0.0957833918674222
manu_37,0.10365613722280018
Sum,0.11533773283069951
28,0.12428255017418065
13,0.477301633615275
