fpr,tpr,thresholds
0.0,0.0,inf
0.011235955056179775,0.0,0.74
0.011235955056179775,0.011363636363636364,0.63
0.02247191011235955,0.011363636363636364,0.61
0.02247191011235955,0.022727272727272728,0.58
0.0449438202247191,0.022727272727272728,0.56
0.0449438202247191,0.045454545454545456,0.53
0.056179775280898875,0.045454545454545456,0.5
0.056179775280898875,0.056818181818181816,0.48
0.06741573033707865,0.06818181818181818,0.47
0.06741573033707865,0.07954545454545454,0.45
0.06741573033707865,0.11363636363636363,0.44
0.06741573033707865,0.17045454545454544,0.43
0.07865168539325842,0.19318181818181818,0.42
0.07865168539325842,0.2159090909090909,0.4
0.10112359550561797,0.23863636363636365,0.39
0.12359550561797752,0.26136363636363635,0.37
0.1348314606741573,0.3068181818181818,0.36
0.14606741573033707,0.3181818181818182,0.35
0.14606741573033707,0.38636363636363635,0.32
0.14606741573033707,0.4318181818181818,0.31
0.15730337078651685,0.45454545454545453,0.3
0.20224719101123595,0.5,0.28
0.20224719101123595,0.5113636363636364,0.27
0.21348314606741572,0.5113636363636364,0.26
0.21348314606741572,0.5227272727272727,0.25
0.23595505617977527,0.5454545454545454,0.24
0.23595505617977527,0.5795454545454546,0.23
0.25842696629213485,0.5909090909090909,0.22
0.3146067415730337,0.6022727272727273,0.21
0.3258426966292135,0.6136363636363636,0.2
0.3595505617977528,0.625,0.19
0.38202247191011235,0.625,0.18
0.42696629213483145,0.6590909090909091,0.17
0.43820224719101125,0.6818181818181818,0.16
0.449438202247191,0.6931818181818182,0.15
0.4606741573033708,0.7272727272727273,0.14
0.5056179775280899,0.75,0.13
0.5168539325842697,0.7840909090909091,0.12
0.5842696629213483,0.8068181818181818,0.11
0.6404494382022472,0.8522727272727273,0.1
0.6741573033707865,0.8636363636363636,0.09
0.7191011235955056,0.8977272727272727,0.08
0.7752808988764045,0.9204545454545454,0.07
0.797752808988764,0.9431818181818182,0.06
0.8202247191011236,0.9431818181818182,0.05
0.8764044943820225,0.9545454545454546,0.04
0.898876404494382,0.9659090909090909,0.03
0.9438202247191011,0.9772727272727273,0.02
1.0,0.9886363636363636,0.01
1.0,1.0,0.0
