fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.007462686567164179,0.6566093
0.0,0.14925373134328357,0.6036393
0.007462686567164179,0.14925373134328357,0.6035043
0.007462686567164179,0.15671641791044777,0.60234624
0.014925373134328358,0.15671641791044777,0.6005031
0.014925373134328358,0.26865671641791045,0.58600396
0.022388059701492536,0.26865671641791045,0.5834853
0.022388059701492536,0.3208955223880597,0.57695705
0.029850746268656716,0.3208955223880597,0.5769086
0.029850746268656716,0.44029850746268656,0.5624955
0.03731343283582089,0.44029850746268656,0.5610877
0.03731343283582089,0.5074626865671642,0.5516162
0.05223880597014925,0.5074626865671642,0.5509188
0.05223880597014925,0.5149253731343284,0.55081505
0.06716417910447761,0.5149253731343284,0.55031186
0.06716417910447761,0.5746268656716418,0.54081917
0.1044776119402985,0.5746268656716418,0.5367562
0.1044776119402985,0.5895522388059702,0.5339974
0.11194029850746269,0.5895522388059702,0.5334618
0.11194029850746269,0.6044776119402985,0.5317164
0.11940298507462686,0.6044776119402985,0.5315822
0.11940298507462686,0.6119402985074627,0.5308869
0.12686567164179105,0.6119402985074627,0.5289846
0.12686567164179105,0.6268656716417911,0.52668035
0.13432835820895522,0.6268656716417911,0.5258249
0.13432835820895522,0.6417910447761194,0.5239424
0.1417910447761194,0.6417910447761194,0.5237748
0.1417910447761194,0.6716417910447762,0.5196094
0.14925373134328357,0.6716417910447762,0.5185326
0.14925373134328357,0.6865671641791045,0.5154006
0.15671641791044777,0.6865671641791045,0.5153721
0.15671641791044777,0.6940298507462687,0.51494443
0.16417910447761194,0.6940298507462687,0.5140089
0.16417910447761194,0.7014925373134329,0.51251715
0.17164179104477612,0.7014925373134329,0.51214135
0.17164179104477612,0.7313432835820896,0.5105606
0.1791044776119403,0.7313432835820896,0.51022965
0.1791044776119403,0.7388059701492538,0.5101608
0.1865671641791045,0.7388059701492538,0.50998986
0.1865671641791045,0.753731343283582,0.50916874
0.208955223880597,0.753731343283582,0.5082571
0.208955223880597,0.7686567164179104,0.5066433
0.21641791044776118,0.7686567164179104,0.506515
0.21641791044776118,0.8432835820895522,0.50157326
0.23880597014925373,0.8432835820895522,0.50015324
0.23880597014925373,0.8507462686567164,0.50004345
0.26119402985074625,0.8507462686567164,0.49615073
0.26119402985074625,0.8582089552238806,0.49564955
0.26865671641791045,0.8582089552238806,0.49541286
0.26865671641791045,0.8656716417910447,0.49484563
0.4253731343283582,0.8656716417910447,0.48201123
0.4253731343283582,0.8805970149253731,0.48113036
0.5,0.8805970149253731,0.4775163
0.5,0.8880597014925373,0.47737294
0.5447761194029851,0.8880597014925373,0.47463056
0.5447761194029851,0.8955223880597015,0.47452945
0.5522388059701493,0.8955223880597015,0.47402522
0.5522388059701493,0.9104477611940298,0.47209424
0.5746268656716418,0.9104477611940298,0.47160226
0.5746268656716418,0.917910447761194,0.47144207
0.582089552238806,0.917910447761194,0.47137126
0.582089552238806,0.9253731343283582,0.47134414
0.5970149253731343,0.9253731343283582,0.46878904
0.5970149253731343,0.9328358208955224,0.46874326
0.6194029850746269,0.9328358208955224,0.46550277
0.6194029850746269,0.9402985074626866,0.46427053
0.7388059701492538,0.9402985074626866,0.4521398
0.7388059701492538,0.9477611940298507,0.45160484
0.753731343283582,0.9477611940298507,0.44693336
0.753731343283582,0.9552238805970149,0.44621956
0.7985074626865671,0.9552238805970149,0.44154432
0.7985074626865671,0.9626865671641791,0.44101205
0.8283582089552238,0.9626865671641791,0.43806332
0.8283582089552238,0.9701492537313433,0.43757513
0.835820895522388,0.9701492537313433,0.43731686
0.8507462686567164,0.9701492537313433,0.43697357
0.8582089552238806,0.9701492537313433,0.43552297
0.8582089552238806,0.9776119402985075,0.4333881
0.8955223880597015,0.9776119402985075,0.4265504
0.8955223880597015,0.9850746268656716,0.42542556
0.917910447761194,0.9850746268656716,0.41996205
0.917910447761194,0.9925373134328358,0.41689938
0.9701492537313433,0.9925373134328358,0.40429252
0.9701492537313433,1.0,0.40334138
1.0,1.0,0.37755287
