feature,importance
13,0.8989326367584126
entropy29,0.316798231634746
entropy30,0.2681061980538278
entropy13,0.24465436112404204
29,0.22171324270362203
manu_37,0.19008911577681253
entropy28,0.16222662144673403
40,0.14221542931355405
entropy14,0.0398810860764179
28,0.02693296515195551
14,0.013819847082452916
