fpr,tpr,thresholds
0.0,0.0,inf
0.029850746268656716,0.2462686567164179,1.0
0.029850746268656716,0.2537313432835821,0.8824731732243228
0.06716417910447761,0.29850746268656714,0.8452220726783307
0.17164179104477612,0.6194029850746269,0.7550669872895912
0.1791044776119403,0.6417910447761194,0.5939470365699876
0.1791044776119403,0.664179104477612,0.5772058823529412
0.1865671641791045,0.664179104477612,0.4056847545219638
0.23134328358208955,0.6791044776119403,0.28060768543342274
0.9925373134328358,0.9776119402985075,0.24618927204147534
1.0,0.9776119402985075,0.18536009445100352
1.0,1.0,0.0
